ptp4l[339819.652]: port 1 (enxb827ebcf092b): INITIALIZING to SLAVE on INIT_COMPLETE
ptp4l[339819.653]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[339819.654]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[340080.287]: master offset -1412267910 s0 freq   -5946 path delay    370940
ptp4l[340081.278]: master offset -1412217465 s0 freq   -5946 path delay    333094
ptp4l[340082.278]: master offset -1412218402 s0 freq   -5946 path delay    313428
ptp4l[340085.133]: master offset -1412249218 s1 freq  -10858 path delay    310990
ptp4l[340086.280]: master offset      43664 s2 freq   -6448 path delay    310990
ptp4l[340086.281]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[340086.600]: master offset -1400633522 s0 freq   -6448 path delay    310990
ptp4l[340086.604]: master offset -1400609673 s0 freq   -6448 path delay    310990
ptp4l[340088.598]: master offset -1400603342 s0 freq   -6448 path delay    308881
ptp4l[340090.243]: master offset -1400588091 s0 freq   -6448 path delay    308881
ptp4l[340090.248]: master offset -1400570980 s0 freq   -6448 path delay    302975
ptp4l[340091.613]: master offset -1400619090 s0 freq   -6448 path delay    302975
ptp4l[340091.613]: master offset -1400625521 s0 freq   -6448 path delay    302975
ptp4l[340093.609]: master offset -1400640768 s0 freq   -6448 path delay    302975
ptp4l[340095.438]: master offset -1400603582 s0 freq   -6448 path delay    302975
ptp4l[340095.449]: master offset -1400631740 s0 freq   -6448 path delay    302975
ptp4l[340095.451]: master offset -1400652419 s0 freq   -6448 path delay    302975
ptp4l[340096.282]: master offset -1400608679 s0 freq   -6448 path delay    306259
ptp4l[340098.174]: master offset -1400608892 s0 freq   -6448 path delay    302975
ptp4l[340098.281]: master offset -1400639120 s0 freq   -6448 path delay    296301
ptp4l[340099.281]: master offset -1400591110 s0 freq   -6448 path delay    296301
ptp4l[340100.864]: master offset -1400603759 s0 freq   -6448 path delay    296301
ptp4l[340101.922]: master offset -1400607627 s0 freq   -6448 path delay    298017
ptp4l[340102.281]: master offset -1400627511 s1 freq  -10439 path delay    299431
ptp4l[340103.738]: master offset -1404938336 s0 freq  -10439 path delay    299431
ptp4l[340104.282]: master offset -1404925578 s0 freq  -10439 path delay    306286
ptp4l[340105.290]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[340106.377]: master offset -1404930063 s0 freq  -10439 path delay    304417
ptp4l[340106.386]: master offset -1404911816 s0 freq  -10439 path delay    304417
ptp4l[340107.393]: master offset -1404904717 s0 freq  -10439 path delay    303256
ptp4l[340108.700]: master offset -1404892038 s0 freq  -10439 path delay    304417
ptp4l[340110.432]: master offset -1404890623 s0 freq  -10439 path delay    306648
ptp4l[340110.880]: master offset -1404882581 s0 freq  -10439 path delay    306648
ptp4l[340111.284]: master offset -1404928554 s0 freq  -10439 path delay    313629
ptp4l[340112.826]: master offset -1404943607 s0 freq  -10439 path delay    317334
ptp4l[340113.284]: master offset -1404909770 s0 freq  -10439 path delay    317334
ptp4l[340114.598]: master offset -1404928829 s0 freq  -10439 path delay    317334
ptp4l[340116.203]: master offset -1404908272 s0 freq  -10439 path delay    317334
ptp4l[340117.618]: master offset -1404930279 s0 freq  -10439 path delay    317334
ptp4l[340118.838]: master offset -1404881878 s0 freq  -10439 path delay    317334
ptp4l[340120.793]: master offset -1404943929 s0 freq  -10439 path delay    317334
ptp4l[340120.802]: master offset -1404862135 s0 freq  -10439 path delay    314077
ptp4l[340121.669]: master offset -1404941173 s0 freq  -10439 path delay    314077
ptp4l[340121.670]: master offset -1404895506 s1 freq   -8329 path delay    305354
ptp4l[340122.286]: master offset -1404108148 s0 freq   -8329 path delay    305354
ptp4l[340123.285]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[340124.452]: master offset -1404157848 s0 freq   -8329 path delay    305354
ptp4l[340124.713]: master offset -1404112952 s0 freq   -8329 path delay    305354
ptp4l[340125.296]: master offset -1404124483 s0 freq   -8329 path delay    305354
ptp4l[340127.498]: master offset -1404158200 s0 freq   -8329 path delay    305354
ptp4l[340127.517]: master offset -1404143583 s0 freq   -8329 path delay    305354
ptp4l[340128.478]: master offset -1404137484 s0 freq   -8329 path delay    305354
ptp4l[340130.498]: master offset -1404167534 s0 freq   -8329 path delay    305473
ptp4l[340130.788]: master offset -1404126327 s0 freq   -8329 path delay    305473
ptp4l[340132.470]: master offset -1404127443 s0 freq   -8329 path delay    303599
ptp4l[340132.479]: master offset -1404129301 s0 freq   -8329 path delay    303599
ptp4l[340133.672]: master offset -1404123672 s0 freq   -8329 path delay    299963
ptp4l[340135.954]: master offset -1404141956 s0 freq   -8329 path delay    299963
ptp4l[340137.706]: master offset -1404114539 s0 freq   -8329 path delay    299963
ptp4l[340137.859]: master offset -1404147704 s0 freq   -8329 path delay    307246
ptp4l[340137.860]: master offset -1404173227 s0 freq   -8329 path delay    307246
ptp4l[340138.784]: master offset -1404134910 s0 freq   -8329 path delay    299963
ptp4l[340139.290]: master offset -1404134596 s1 freq   -6876 path delay    317139
ptp4l[340141.720]: master offset -1399002454 s0 freq   -6876 path delay    317139
ptp4l[340141.727]: clockcheck: clock jumped backward or running slower than expected!
ptp4l[340143.098]: master offset -1398991965 s0 freq   -6876 path delay    317139
ptp4l[340143.113]: master offset -1398943275 s0 freq   -6876 path delay    302327
ptp4l[340144.360]: master offset -1399016421 s0 freq   -6876 path delay    317139
ptp4l[340144.421]: master offset -1398971582 s0 freq   -6876 path delay    317139
ptp4l[340145.359]: master offset -1399051169 s0 freq   -6876 path delay    346545
ptp4l[340146.300]: master offset -1399038758 s0 freq   -6876 path delay    332547
ptp4l[340148.998]: master offset -1399052012 s0 freq   -6876 path delay    322909
ptp4l[340149.622]: master offset -1399008664 s0 freq   -6876 path delay    322909
ptp4l[340150.243]: master offset -1399026543 s0 freq   -6876 path delay    324038
ptp4l[340151.252]: master offset -1399019696 s0 freq   -6876 path delay    322917
ptp4l[340151.301]: master offset -1399023727 s0 freq   -6876 path delay    322917
ptp4l[340152.292]: master offset -1398988066 s0 freq   -6876 path delay    312747
ptp4l[340153.560]: master offset -1399035711 s0 freq   -6876 path delay    312747
